"Source:","C:\Users\jleeman\git_repos\Analog_PID_Demo\KiCAD_Project\PID Demo Board\PID Demo Board.sch"
"Date:","4/26/2021 3:28:23 PM"
"Tool:","Eeschema (5.1.7)-1"
"Component Count:","42"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","1-0000018","capacitors_0603:1-0000018","~","",""
"C2","1-0000007","capacitors_0603:1-0000007","~","",""
"C3","1-0000007","capacitors_0603:1-0000007","~","",""
"C4","1-0000018","capacitors_0603:1-0000018","~","",""
"C5","1-0000018","capacitors_0603:1-0000018","~","",""
"C6","1-0000007","capacitors_0603:1-0000007","~","",""
"C7","1-0000007","capacitors_0603:1-0000007","~","",""
"C8","1-0000018","capacitors_0603:1-0000018","~","",""
"C9","1-0000018","capacitors_0603:1-0000018","~","",""
"C10","1-0000007","capacitors_0603:1-0000007","~","",""
"C11","1-0000007","capacitors_0603:1-0000007","~","",""
"C12","1-0000018","capacitors_0603:1-0000018","~","",""
"C13","1-0000352","capacitors_0805:1-0000352","~","",""
"C14","1-0000322","capacitors_0603:1-0000322","~","",""
"C15","1-0000324","capacitors_0603:1-0000324","~","",""
"CON1","1-0000001","connectors:1-0000001","","",""
"D1","1-0000598","leds_0805:1-0000598","~","",""
"FID1","Fiducial_1mm_2mm","mechanical:Fiducial_1mm_Mask2mm","~","",""
"FID2","Fiducial_1mm_2mm","mechanical:Fiducial_1mm_Mask2mm","~","",""
"H1","M3_ISO_7380","mechanical:MountingHole_3.2mm_M3_ISO7380","None","",""
"H2","M3_ISO_7380","mechanical:MountingHole_3.2mm_M3_ISO7380","None","",""
"H3","M3_ISO_7380","mechanical:MountingHole_3.2mm_M3_ISO7380","None","",""
"H4","M3_ISO_7380","mechanical:MountingHole_3.2mm_M3_ISO7380","None","",""
"J1","NP_Conn_01x04","np_connectors:PinHeader_1x04_P2.54mm_Vertical","~","",""
"J2","1-0000120","connectors:1-0000120","~","",""
"J3","1-0000120","connectors:1-0000120","~","",""
"J4","1-0000120","connectors:1-0000120","~","",""
"J5","1-0000120","connectors:1-0000120","~","",""
"J6","1-0000120","connectors:1-0000120","~","",""
"PCB1","barepcb","misc:barepcb","","",""
"R1","1-0000008","resistors_0603:1-0000008","~","",""
"R2","1-0000013","resistors_0603:1-0000013","~","",""
"R3","1-0000006","resistors_0603:1-0000006","~","",""
"R4","1-0000174","resistors_0603:1-0000174","~","",""
"R5","1-0000011","resistors_0603:1-0000011","~","",""
"RV1","1-0000337","resistors_variable:1-0000337","","",""
"RV2","1-0000337","resistors_variable:1-0000337","","",""
"RV3","1-0000337","resistors_variable:1-0000337","","",""
"U1","1-0000419","amplifiers:1-0000419","","",""
"U2","1-0000419","amplifiers:1-0000419","","",""
"U3","1-0000419","amplifiers:1-0000419","","",""
"U4","1-0000465","dc_dc_converters:1-0000465","","",""
